epoch,total_train_c_loss_mean,total_train_c_loss_std,total_train_accuracy_mean,total_train_accuracy_std,total_val_c_loss_mean,total_val_c_loss_std,total_val_accuracy_mean,total_val_accuracy_std,total_test_c_loss_mean,total_test_c_loss_std,total_test_accuracy_mean,total_test_accuracy_std
0,0.68608165,0.312718,0.817,0.107625574,0.48221153,0.12669913,0.86740625,0.058696374,-1,-1,-1,-1
1,0.37198272,0.13156888,0.8996875,0.055356618,0.34900382,0.117751665,0.903375,0.053267606,-1,-1,-1,-1
2,0.26545617,0.10593735,0.92875,0.046304863,0.2884685,0.10623176,0.91940624,0.048106316,-1,-1,-1,-1
3,0.22654165,0.0965672,0.9395,0.043142024,0.26269543,0.10923645,0.923625,0.04809723,-1,-1,-1,-1
4,0.20265,0.09223763,0.9438437,0.041783843,0.227921,0.098500974,0.933375,0.0448149,-1,-1,-1,-1
5,0.18818608,0.090165466,0.9473125,0.040761836,0.22130814,0.09698054,0.9345,0.043936923,-1,-1,-1,-1
6,0.17164212,0.08342109,0.9533125,0.03652327,0.20721295,0.09259195,0.9399375,0.040863674,-1,-1,-1,-1
7,0.16301633,0.08122845,0.9559375,0.03582046,0.20304035,0.0928475,0.9409375,0.041267753,-1,-1,-1,-1
8,0.16146329,0.08397182,0.95478123,0.037463408,0.19844015,0.09273055,0.9429687,0.040725537,-1,-1,-1,-1
9,0.15683426,0.080658525,0.956375,0.036325138,0.19893457,0.09381656,0.942,0.041236553,-1,-1,-1,-1
10,0.15097106,0.07807675,0.9575625,0.035380688,0.19547251,0.092118144,0.941875,0.040485337,-1,-1,-1,-1
11,0.15045485,0.07644495,0.9579375,0.034942534,0.19401698,0.092088684,0.94328123,0.040610276,-1,-1,-1,-1
12,0.14984906,0.080055244,0.9595625,0.035870373,0.1924559,0.0920229,0.9444063,0.040313214,-1,-1,-1,-1
13,0.14916617,0.07687091,0.9583125,0.035746012,0.1916016,0.092295684,0.94409376,0.04038969,-1,-1,-1,-1
14,0.14848305,0.07936636,0.9581562,0.035713695,0.19087741,0.09174133,0.9445,0.04043011,-1,-1,-1,-1
15,0.14820386,0.07667186,0.95940626,0.0341984,0.19044366,0.09153901,0.9445937,0.040013075,-1,-1,-1,-1
16,0.14958636,0.07870469,0.9580625,0.035092454,0.19032283,0.09152844,0.94465625,0.04014815,-1,-1,-1,-1
17,0.14364792,0.07325902,0.96090627,0.033336576,0.1902699,0.09189203,0.9446875,0.04010606,-1,-1,-1,-1
18,0.14521325,0.076231845,0.96040624,0.034199994,0.18993221,0.09116261,0.94496876,0.039871365,-1,-1,-1,-1
19,0.14735745,0.07613257,0.95909375,0.03414009,0.19001336,0.09124126,0.9450312,0.039736915,-1,-1,-1,-1
20,0.14563885,0.079023,0.9597812,0.035086818,0.19022806,0.091248974,0.94478124,0.040149998,-1,-1,-1,-1
21,0.14569019,0.074720144,0.959625,0.03444221,0.18976925,0.09145037,0.9451563,0.039786726,-1,-1,-1,-1
22,0.14829357,0.07858339,0.9594687,0.034669068,0.18995044,0.091493405,0.94475,0.039899483,-1,-1,-1,-1
23,0.14454979,0.07417872,0.96028125,0.034197822,0.18960202,0.091209985,0.9448125,0.04008346,-1,-1,-1,-1
24,0.14288884,0.07517041,0.96171874,0.033575576,0.18996122,0.09129536,0.945,0.040048797,-1,-1,-1,-1
25,0.14496283,0.07190853,0.95940626,0.034083985,0.18915974,0.09141769,0.94496876,0.039846864,-1,-1,-1,-1
26,0.1460313,0.07401096,0.9590625,0.03551931,0.18975537,0.09116592,0.945,0.03992669,-1,-1,-1,-1
27,0.14563766,0.07695046,0.95996875,0.034432326,0.1897446,0.09121481,0.94509375,0.0399212,-1,-1,-1,-1
28,0.14449398,0.073397,0.961375,0.03377754,0.18943042,0.09129651,0.945125,0.039903007,-1,-1,-1,-1
29,0.15111321,0.07741582,0.95865625,0.034835983,0.19001026,0.091325015,0.9450625,0.039841436,-1,-1,-1,-1
30,0.14460672,0.07472891,0.959375,0.03524468,0.18989266,0.09102283,0.94521874,0.039946143,-1,-1,-1,-1
31,0.14562464,0.08016107,0.9594375,0.034674775,0.18954787,0.091228575,0.945125,0.03960824,-1,-1,-1,-1
32,0.14555703,0.0749963,0.959375,0.03462974,0.19001994,0.09108427,0.94490623,0.039760403,-1,-1,-1,-1
33,0.14463678,0.07850493,0.95928127,0.03616357,0.1896091,0.09151932,0.94490623,0.039980844,-1,-1,-1,-1
34,0.1436207,0.074458055,0.9608125,0.035430998,0.18929568,0.091303594,0.94465625,0.04007511,-1,-1,-1,-1
